"Position";"Date_short";"value";"RDate";"System";"SampleType";"FlowDirection"
"VAp_OUT";"2017/06/01";408.194210526316;2017-06-01;"VAp";"Out";"VF"
"VAp_OUT";"2017/07/01";460.0352;2017-07-01;"VAp";"Out";"VF"
"VAp_OUT";"2017/08/01";463.984;2017-08-01;"VAp";"Out";"VF"
"VM1_IN";"2017/01/01";486.706666666667;2017-01-01;"VM1";"In";"VF"
"VM1_IN";"2017/02/01";567.233333333333;2017-02-01;"VM1";"In";"VF"
"VM1_IN";"2017/03/01";565.681481481482;2017-03-01;"VM1";"In";"VF"
"VM1_IN";"2017/04/01";578.181481481482;2017-04-01;"VM1";"In";"VF"
"VM1_IN";"2017/05/01";578.140740740741;2017-05-01;"VM1";"In";"VF"
"VM1_IN";"2017/06/01";527.555;2017-06-01;"VM1";"In";"VF"
"VM1_IN";"2017/07/01";578.116;2017-07-01;"VM1";"In";"VF"
"VM1_IN";"2017/08/01";578.208;2017-08-01;"VM1";"In";"VF"
"VM1_OUT";"2017/01/01";308.5;2017-01-01;"VM1";"Out";"VF"
"VM1_OUT";"2017/02/01";577.409166666667;2017-02-01;"VM1";"Out";"VF"
"VM1_OUT";"2017/03/01";575.40962962963;2017-03-01;"VM1";"Out";"VF"
"VM1_OUT";"2017/04/01";588.892222222222;2017-04-01;"VM1";"Out";"VF"
"VM1_OUT";"2017/05/01";563.526666666667;2017-05-01;"VM1";"Out";"VF"
"VM1_OUT";"2017/06/01";484.182631578947;2017-06-01;"VM1";"Out";"VF"
"VM1_OUT";"2017/07/01";556.2872;2017-07-01;"VM1";"Out";"VF"
"VM1_OUT";"2017/08/01";550.6108;2017-08-01;"VM1";"Out";"VF"
"VM2_IN";"2017/01/01";486.806666666667;2017-01-01;"VM2";"In";"VF"
"VM2_IN";"2017/02/01";567.129166666667;2017-02-01;"VM2";"In";"VF"
"VM2_IN";"2017/03/01";565.707407407407;2017-03-01;"VM2";"In";"VF"
"VM2_IN";"2017/04/01";578.122222222222;2017-04-01;"VM2";"In";"VF"
"VM2_IN";"2017/05/01";578.159259259259;2017-05-01;"VM2";"In";"VF"
"VM2_IN";"2017/06/01";526.415;2017-06-01;"VM2";"In";"VF"
"VM2_IN";"2017/07/01";578.188;2017-07-01;"VM2";"In";"VF"
"VM2_IN";"2017/08/01";578.148;2017-08-01;"VM2";"In";"VF"
"VM2_OUT";"2017/01/01";312.523913043478;2017-01-01;"VM2";"Out";"VF"
"VM2_OUT";"2017/02/01";552.215;2017-02-01;"VM2";"Out";"VF"
"VM2_OUT";"2017/03/01";549.13;2017-03-01;"VM2";"Out";"VF"
"VM2_OUT";"2017/04/01";567.64;2017-04-01;"VM2";"Out";"VF"
"VM2_OUT";"2017/05/01";566.497407407407;2017-05-01;"VM2";"Out";"VF"
"VM2_OUT";"2017/06/01";524.125263157895;2017-06-01;"VM2";"Out";"VF"
"VM2_OUT";"2017/07/01";544.9344;2017-07-01;"VM2";"Out";"VF"
"VM2_OUT";"2017/08/01";538.7644;2017-08-01;"VM2";"Out";"VF"
"VS1_IN";"2017/01/01";;2017-01-01;"VS1";"In";"VF"
"VS1_IN";"2017/02/01";;2017-02-01;"VS1";"In";"VF"
"VS1_IN";"2017/03/01";;2017-03-01;"VS1";"In";"VF"
"VS1_IN";"2017/04/01";;2017-04-01;"VS1";"In";"VF"
"VS1_IN";"2017/05/01";;2017-05-01;"VS1";"In";"VF"
"VS1_IN";"2017/06/01";;2017-06-01;"VS1";"In";"VF"
"VS1_IN";"2017/07/01";;2017-07-01;"VS1";"In";"VF"
"VS1_IN";"2017/08/01";;2017-08-01;"VS1";"In";"VF"
"VS1_OUT";"2017/01/01";12.0461904761905;2017-01-01;"VS1";"Out";"VF"
"VS1_OUT";"2017/02/01";16.4533333333333;2017-02-01;"VS1";"Out";"VF"
"VS1_OUT";"2017/03/01";9.255;2017-03-01;"VS1";"Out";"VF"
"VS1_OUT";"2017/04/01";7.326875;2017-04-01;"VS1";"Out";"VF"
"VS1_OUT";"2017/05/01";9.01769230769231;2017-05-01;"VS1";"Out";"VF"
"VS1_OUT";"2017/06/01";19.0709090909091;2017-06-01;"VS1";"Out";"VF"
"VS1_OUT";"2017/07/01";12.34;2017-07-01;"VS1";"Out";"VF"
"VS1_OUT";"2017/08/01";10.9161538461538;2017-08-01;"VS1";"Out";"VF"
"VS1p_IN";"2017/01/01";;2017-01-01;"VS1p";"In";"VF"
"VS1p_IN";"2017/02/01";;2017-02-01;"VS1p";"In";"VF"
"VS1p_IN";"2017/03/01";;2017-03-01;"VS1p";"In";"VF"
"VS1p_IN";"2017/04/01";;2017-04-01;"VS1p";"In";"VF"
"VS1p_IN";"2017/05/01";;2017-05-01;"VS1p";"In";"VF"
"VS1p_IN";"2017/06/01";;2017-06-01;"VS1p";"In";"VF"
"VS1p_IN";"2017/07/01";;2017-07-01;"VS1p";"In";"VF"
"VS1p_IN";"2017/08/01";;2017-08-01;"VS1p";"In";"VF"
"VS1p_OUT";"2017/01/01";272.714;2017-01-01;"VS1p";"Out";"VF"
"VS1p_OUT";"2017/02/01";545.016666666667;2017-02-01;"VS1p";"Out";"VF"
"VS1p_OUT";"2017/03/01";535.418888888889;2017-03-01;"VS1p";"Out";"VF"
