"DateTime";"SystemType";"FlowDirection";"System";"SampleType";"SamplePoint";"dist_axial";"Parameter";"value"
"181";2017-08-08 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";22
"182";2017-01-10 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";7.7
"183";2017-06-14 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";21
"184";2017-05-16 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";17.6
"185";2017-02-21 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";11
"186";2017-08-22 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";19
"187";2017-01-24 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";7.2
"188";2017-07-25 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";20.2
"189";2017-06-27 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";20.1
"190";2017-05-30 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-55";0.55;"T_lab";22.7
"191";2017-05-02 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";11.5
"192";2017-04-04 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";11.2
"193";2017-02-07 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";6.8
"194";2017-03-07 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";12.5
"195";2017-08-08 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";21.9
"196";2017-01-10 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";7.8
"197";2017-06-14 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";19.5
"198";2017-05-16 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";17.6
"199";2017-02-21 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";11.9
"200";2017-08-22 10:00:00;"Intensified";"HF";"HMc";"PoreWater";"HMc-70";0.7;"T_lab";19.2
